chart_week,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
2026-01-15,181,spotify:track:1QV6tiMFM6fSOKOGLMHYYg,Lady Gaga,Poker Face,Streamline/Interscope,37,170,49,8660986
2026-01-15,182,spotify:track:5oO3drDxtziYU2H1X23ZIp,Rihanna,Love On The Brain,Roc Nation / Rihanna,68,-1,33,8648779
2026-01-15,183,spotify:track:50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,Love Yourself,RBMG/Def Jam,62,193,60,8637168
2026-01-15,184,spotify:track:7snQQk1zcKl8gZ92AnueZW,Guns N' Roses,Sweet Child O' Mine,Guns N Roses P&D,101,171,57,8631827
2026-01-15,185,spotify:track:4V2rUOmaevK0C1bKAkeFf5,"Panda, MJ Records",Eu Te Seguro - Ao Vivo,Sony Music Entertainment,164,168,3,8579732
2026-01-15,186,spotify:track:3d0WouFnFmr0K3kjeza3fF,"Shakira, Wyclef Jean",Hips Don't Lie (feat. Wyclef Jean),Epic,82,169,39,8574173
2026-01-15,187,spotify:track:5FSvy2wYKnurBi0Nq3wR9F,A$AP Rocky,PUNK ROCKY,A$AP Worldwide/RCA Records,187,-1,1,8572506
2026-01-15,188,spotify:track:3p4hRhMcb6ch8OLtATMaLw,Cigarettes After Sex,Cry,Partisan Records,69,173,49,8572068
2026-01-15,189,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,Stressed Out,Fueled By Ramen,63,188,61,8562899
2026-01-15,190,spotify:track:2ENexcMEMsYk0rVJigVD3i,Rihanna,Only Girl (In The World),Def Jam Recordings,99,160,13,8558951
2026-01-15,191,spotify:track:3B54sVLJ402zGa6Xm4YGNe,"French Montana, Swae Lee",Unforgettable,Bad Boy Entertainment/Epic Records,3,194,129,8534595
2026-01-15,192,spotify:track:36vmaZyO0iAE6FZ7287fg2,Olivia Dean,Dive,PLG - Capitol,178,180,3,8511421
2026-01-15,193,spotify:track:6RUKPb4LETWmmr3iAEQktW,"The Chainsmokers, Coldplay",Something Just Like This,Disruptor Records/Columbia,2,166,288,8509146
2026-01-15,194,spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me To Church,Universal-Island Records Ltd.,108,177,209,8497845
2026-01-15,195,spotify:track:6eLQXa6uk2EW8drsiKbABZ,Fuerza Regida,TU SANCHO,Rancho Humilde/Street Mob Records/Sony Music Latin,11,-1,33,8465962
2026-01-15,196,spotify:track:4ukpXdplqDEMk3Fy2i30oI,"MC GP, Mc Lele JP, DJ DAVI DOGDOG, Dj Andrabeat",ME POSTOU NO DAILY - FESTA DO BIG G,WM Brazil,140,-1,7,8426606
2026-01-15,197,spotify:track:2ipIPsgrgd0j2beDf4Ki70,Benson Boone,Mystical Magical,"Night Street Records, Inc./Warner Records Inc.",34,182,33,8398664
2026-01-15,198,spotify:track:7G7mSV4BebkoHWwKTDvXu9,"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),BIGHIT MUSIC,21,129,56,8396002
2026-01-15,199,spotify:track:4e76Ss3ji7HQZ4qwcPNkNA,Junior H,MIENTRAS DUERMES,WEA Latina,134,184,16,8382504
2026-01-15,200,spotify:track:2LawezPeJhN4AWuSB0GtAU,Creedence Clearwater Revival,Have You Ever Seen The Rain,Craft Recordings,75,176,63,8377844
